"die Serie, -n<br>Wenn ich auf einer Party mit Leuten ins Gespräch kommen möchte, frage ich nach ihrer TV-Lieblingsserie.","the series, -n<br>When I want to start a conversation with people at a party, I ask about their favorite TV series."
"die Folge, -n<br>Ich liebe „Game of Thrones"! Ich habe alle Folgen gesehen.","the episode, -n<br>I love 'Game of Thrones'! I've seen all the episodes."
"der Charakter, -e<br>Welche Charaktere magst du besonders, welche hasst du?","the character, -s<br>Which characters do you like best, which do you hate?"
"obwohl<br>Es ist erstaunlich, wie viel ich über meine Gesprächspartner erfahre, obwohl wir ja nur übers Fernsehen reden.","although<br>It's amazing how much I learn about my conversation partners, even though we're just talking about TV."
"dauernd<br>Mein Wunschserienheld hätte dauernd Pech.","constantly<br>My ideal TV hero would constantly have bad luck."
"der Verlierer, -<br>Die Leute würden sagen, er ist ein Verlierer, aber das stimmt nicht.","the loser, -<br>People would say he's a loser, but that's not true."
"der Typ, -en<br>Er ist ein Typ, der immer optimistisch bleibt.","the guy, -s<br>He's the type who always stays optimistic."
"optimistisch<br>Er ist ein Typ, der immer optimistisch bleibt.","optimistic<br>He's the type who always stays optimistic."
"die Figur, -en<br>Eine der Hauptfiguren wäre eine Köchin, die unglaublich gut kochen kann.","the figure, -s<br>One of the main characters would be a chef who can cook incredibly well."
"unglaublich<br>Eine der Hauptfiguren wäre eine Köchin, die unglaublich gut kochen kann.","incredible<br>One of the main characters would be a chef who can cook incredibly well."
"erfinden (hat erfunden)<br>Ich glaube, man könnte da ziemlich lustige und verrückte Geschichten erfinden.","to invent (invented)<br>I think you could invent pretty funny and crazy stories there."
"die Operation, -en<br>Ich kann keine Operationen und kein Blut sehen.","the operation, -s<br>I can't watch operations or blood."
"das Blut (Sg.)<br>Ich kann keine Operationen und kein Blut sehen.","the blood (sg.)<br>I can't watch operations or blood."
"Kriminalveröffentlichen (hat veröffentlicht)<br>Er veröffentlicht alle Fälle im Internet.","to publish crime (published)<br>He publishes all cases online."
"der Fall, -e<br>Er veröffentlicht alle Fälle im Internet.","the case, -s<br>He publishes all cases online."
"die Sängerin, -nen<br>Meine Hauptfigur wäre eine Sängerin, die keinen Erfolg hat.","the singer, -s<br>My main character would be a singer who hasn't had any success."
"entstehen (ist entstanden)<br>In den 1980er-Jahren kam die Musik, die unter Afroamerikanern in den USA entstanden war, nach Europa.","to originate (has originated)<br>In the 1980s, the music that originated among African Americans in the US came to Europe."
"elektronisch<br>Hip-Hop, das sind elektronisch produzierte Beats mit einem schnell gesprochenen Text.","electronically<br>Hip-hop consists of electronically produced beats with a quickly spoken text."
"produzieren (hat produziert)<br>Hip-Hop, das sind elektronisch produzierte Beats mit einem schnell gesprochenen Text.","to produce (produced)<br>Hip-hop consists of electronically produced beats with a quickly spoken text."
"die Großstadt, -e<br>Die Texte handelten meist vom schwierigen Leben in den Großstädten der USA.","the metropolis, -es<br>The texts mostly dealt with the difficult life in US metropolises."
"inzwischen<br>Die ersten deutschen Hip-Hop-Musiker rappten auf Englisch, inzwischen aber auf Deutsch.","in the meantime<br>The first German hip-hop artists rapped in English, but now in German."
"anfangs<br>Anfangs konnte man sich das nur schwer vorstellen: Rappen auf Deutsch? Niemals!","at first<br>At first it was hard to imagine: Rapping in German? Never!"
"sogenannt-<br>Die deutschsprachige Hip-Hop der sogenannten „Neuen Schule“ wurde beliebter.","so-called-<br>The German-language hip-hop of the so-called 'New School' became more popular."
"der Song, -s<br>1992 hatten die Fantastischen Vier mit dem Song „Die da“ einen Hit.","the song, -<br>In 1992, the Fantastischen Vier had a hit with the song 'Die da'."
"der Hit, -s<br>1992 hatten die Fantastischen Vier mit dem Song „Die da“ einen Hit.","the hit, -s<br>In 1992, the Fantastischen Vier had a hit with the song 'Die da'."
"völlig<br>Das war völlig neu.","completely<br>That was completely new."
"der Humor (Sg.)<br>Sie rappeln mit Wortwitz und Humor über alltägliche Dinge.","the humor (sg.)<br>They rap with wordplay and humor about everyday things."
"alltäglich<br>Sie rappeln mit Wortwitz und Humor über alltägliche Dinge.","everyday<br>They rap with wordplay and humor about everyday things."
"die Gewalt (Sg.)<br>In ihren Texten geht es oft um Gewalt, Geld und Kriminalität.","the violence (sg.)<br>Their texts often deal with violence, money, and crime."
"kritisieren (hat kritisiert)<br>Manche Gangsta-Rapper sprechen in ihren Texten schlecht über Frauen oder Homosexuelle. Dafür werden sie kritisiert.","to criticize (criticized)<br>Some gangsta rappers speak negatively about women or homosexuals in their texts. They're criticized for that."
"der Star, -s<br>Die Stars der Szene verdienen damit viel Geld.","the star, -s<br>The stars of the scene earn a lot of money with that."
"die Szene (Sg.)<br>Die Stars der Szene verdienen damit viel Geld.","the scene (sg.)<br>The stars of the scene earn a lot of money with that."
"erfolgreich<br>Der Rapper Kollegah war 2015 der erfolgreichste deutsche Musiker.","successful<br>Rapper Kollegah was the most successful German musician in 2015."
"beschäftigen (sich)<br>Viele deutsche Hip-Hop-Musiker beschäftigen sich auch mit sozialen Themen.","to engage (themselves)<br>Many German hip-hop artists also engage with social issues."
"die Arbeitslosigkeit (Sg.)<br>In ihren Texten geht es um Arbeitslosigkeit, Rassismus, das Leben auf der Straße oder die Probleme von Migranten.","the unemployment (sg.)<br>Their texts deal with unemployment, racism, street life, or migrant problems."
"das Lager, -<br>Viele seiner Texte handeln von seinem Job als Lagerarbeiter, mit dem er den Lebensunterhalt für seine Familie und sich verdient.","the warehouse, -<br>Many of his texts deal with his job as a warehouse worker, which provides income for his family and himself."
