"das Erlebnis<br>Manfred Schulze erzählt Ella von seinem Glückserlebnis.","the experience<br>Manfred Schulze tells Ella about his lucky experience."
"der Artikel<br>Ellas Artikel wird pünktlich fertig.","the article<br>Ella’s article is finished on time."
"weg sein<br>So lange, bis viel Geld weg war.","to be gone<br>Until a lot of money was gone."
"die Religion<br>In meiner Religion ist Glücksspiel verboten.","the religion<br>In my religion, gambling is forbidden."
"die Überraschung<br>Dann kam die ganz große Überraschung.","the surprise<br>Then came the really big surprise."
"verrückt<br>Es war total verrückt.","crazy<br>It was totally crazy."
"der Gewinn<br>Wie hoch war denn Ihr Gewinn?","the profit<br>How high was your profit?"
"die Steuer<br>Eine Million. Steuerfrei!","the tax<br>One million. Tax-free!"
"die Stimme<br>Ich sah die Zahl 14 und eine Stimme fragte:...","the voice<br>I saw the number 14 and a voice asked:..."
"setzen (sich)<br>Dann habe ich mich an den Roulettetisch gesetzt.","to sit down<br>Then I sat down at the roulette table."
"mutig<br>Ganz schön mutig!","brave<br>Pretty brave!"
"die Meldung<br>Lesen Sie die Zeitungsmeldungen.","the news item<br>Read the newspaper reports."
"die Überschrift<br>Ordnen Sie die Überschriften zu.","the headline<br>Match the headlines."
"während<br>Während der Mann tankte, wollte die Frau schnell Getränke kaufen.","while<br>While the man was refueling, the woman wanted to quickly buy drinks."
"verschwinden<br>Als sie zurückkam, war ihr Mann verschwunden.","to disappear<br>When she came back, her husband had disappeared."
"vergeblich<br>Die Frau wartete mehrere Stunden vergeblich auf ihren Mann.","in vain<br>The woman waited several hours in vain for her husband."
"steigen (in)<br>Passend gekleidet für... stiegen sie letzten Monat in Berlin ins Flugzeug.","to board<br>Dressed appropriately for... they boarded the plane in Berlin last month."
"wundern (sich)<br>Sie wunderten sich zwar, als sie in Portland ... umsteigen mussten.","to be surprised<br>They were surprised, though, when they had to change planes in Portland."
"zwar<br>Sie wunderten sich zwar, als sie ... umsteigen mussten.","admittedly<br>They were admittedly surprised when they had to change planes."
"der Mut<br>..., hatten aber nicht den Mut,... anzusprechen.","the courage<br>..., but didn’t have the courage to address it."
"beide<br>Die Überraschung war dann groß, als die beiden schließlich ihr Ziel erreichten.","both<br>The surprise was great when both finally reached their destination."
"erreichen<br>Die Überraschung war dann groß, als die beiden schließlich ihr Ziel erreichten.","to reach<br>The surprise was great when both finally reached their destination."
"tief<br>Sie landeten im tief verschneiten Montana.","deep<br>They landed in deeply snow-covered Montana."
"verwechseln<br>Der Vater verwechselte bei der Online-Buchung Sydney (Australien) mit Sidney (USA).","to mix up<br>The father mixed up Sydney (Australia) with Sidney (USA) during the online booking."
"das Mittelmeer<br>... waren letzte Woche auf Kreuzfahrt im Mittelmeer.","the Mediterranean<br>... were on a cruise in the Mediterranean last week."
"einig<br>Sie glaubte, dass ihr Mann sich an Bord befand.","some<br>She believed that her husband was on board."
"nachdenken<br>Sie ... sprang ohne nachzudenken ins Wasser und schwamm dem Schiff nach.","to think about<br>She ... jumped into the water without thinking and swam after the ship."
"die Angabe<br>Nach Polizeiangaben verbrachte die Frau zwei Stunden im Wasser.","the information<br>According to police information, the woman spent two hours in the water."
"retten<br>Nach Polizeiangaben verbrachte die Frau zwei Stunden im Wasser und wurde dann von Fischern gerettet.","to rescue<br>According to police information, the woman spent two hours in the water and was then rescued by fishermen."
"ausreichen<br>Damit reichte sein Geld aber nicht mehr für den Lottotipp aus.","to suffice<br>But that wasn’t enough money for the lottery ticket anymore."
"der Ärger<br>Eine Geburtstagsparty sorgte für großen Ärger.","the trouble<br>A birthday party caused a lot of trouble."
"folgen<br>Über 500 Gäste folgten der Einladung.","to follow<br>Over 500 guests followed the invitation."
"zumindest<br>So dachte zumindest die 17-jährige Julia R.","at least<br>At least that’s what the 17-year-old Julia R. thought."
"absagen<br>Die Feier wurde abgesagt.","to cancel<br>The celebration was canceled."
"rufen<br>... und zwar so laut, dass Julias Eltern ... die Polizei riefen.","to call<br>... and so loudly that Julia’s parents called the police."
"absperren<br>Diese sperrte die Straße ab.","to block off<br>They blocked off the street."
"festnehmen<br>... zwei junge Männer wurden sogar festgenommen.","to arrest<br>... two young men were even arrested."
"betrunken<br>Betrunkener Einbrecher vor dem Fernseher eingeschlafen.","drunk<br>Drunk burglar fell asleep in front of the TV."
"der Einbrecher<br>Betrunkener Einbrecher vor dem Fernseher eingeschlafen.","the burglar<br>Drunk burglar fell asleep in front of the TV."
"aufregend<br>Ich fand es als Kind immer sehr aufregend,...","exciting<br>I always found it very exciting as a child,..."
"witzig<br>Mein Opa fand es immer sehr witzig,...","funny<br>My grandpa always found it very funny,..."
"der Motorroller<br>Ich war so glücklich, weil ich zum Geburtstag einen Motorroller bekommen habe.","the scooter<br>I was so happy because I got a scooter for my birthday."
"verliebt sein<br>Frisch verliebt?","to be in love<br>Freshly in love?"
"brechen<br>... denn ich hatte mir einige Zeit vorher den Fuß gebrochen.","to break<br>... because I had broken my foot some time before."
"der Trainer<br>Und dann nahm unser Trainer unsere Nummer 1 vom Feld ...","the coach<br>And then our coach took our number 1 off the field ..."
"das Feld<br>Und dann nahm unser Trainer unsere Nummer 1 vom Feld ...","the field<br>And then our coach took our number 1 off the field ..."
"allerletzte<br>In der allerletzten Spielminute, da kam er, mein Glücksmoment.","very last<br>In the very last minute of the game, there it was, my moment of luck."
"das Tor<br>Und ich hatte das Tor geschossen.","the goal<br>And I had scored the goal."
"fliehen<br>Ich war aus Syrien geflohen ...","to flee<br>I had fled from Syria ..."
"best-<br>Letzten Sommer hat meine beste Freundin ...","best<br>Last summer, my best friend ..."
"das Standesamt<br>Letzten Sommer hat meine Freundin auf dem Standesamt...","the registry office<br>Last summer, my friend at the registry office..."
"schießen<br>Und ich hatte das Tor geschossen.","to shoot<br>And I had scored the goal."
"der Schaden<br>Wie hoch ist der Schaden?","the damage<br>How high is the damage?"
"der Vorhang<br>Ich holte gerade eine lange Vorhangstange aus dem Umzugswagen und wollte sie in die Wohnung tragen.","the curtain<br>I was just taking a long curtain rod out of the moving van and wanted to carry it into the apartment."
"augenblicklich<br>Der Blumentopf fiel augenblicklich herunter...","instantly<br>The flowerpot fell down instantly..."
"beißen<br>Daraufhin biss der Hund meine Bekannte leicht ins Bein.","to bite<br>Then the dog lightly bit my acquaintance in the leg."
"erschrecken<br>Sie erschrak so, dass sie die Kartons fallen ließ.","to be startled<br>She was so startled that she dropped the boxes."
"der Kontakt<br>Wir möchten mit der Geschädigten Kontakt aufnehmen.","the contact<br>We would like to get in touch with the affected person."
"die Daten<br>Bitte geben Sie uns ihre Daten.","the data<br>Please give us your data."
"das Gespräch<br>... hört man oft in Gesprächen.","the conversation<br>... you often hear in conversations."
